id,pedido_id,produto_id,cliente_id,nota,comentario,data_avaliacao
1,13462,18,2066,4,,2024-11-07
2,2283,88,2585,5,Entrega rápida e produto conforme descrito.,2024-01-14
3,11489,187,485,5,,2024-03-31
4,3990,141,2932,5,"Produto excelente, chegou antes do prazo!",2023-12-06
5,4858,55,941,2,"Não recomendo, péssima experiência.",2023-06-20
6,5160,75,624,5,Muito satisfeito com a compra.,2023-06-07
7,2083,41,1630,4,Entrega rápida e produto conforme descrito.,2023-08-29
8,12984,76,2008,3,"Entrega no prazo, produto regular.",2024-08-30
9,9137,107,1060,1,"Não recomendo, péssima experiência.",2024-09-23
10,13325,126,51,1,Veio diferente do anunciado.,2024-02-27
11,10376,8,50,5,Muito satisfeito com a compra.,2023-03-12
12,1157,190,1268,4,"Produto excelente, chegou antes do prazo!",2023-05-18
13,14443,7,943,2,,2024-01-21
14,5818,100,1219,3,"Produto ok, dentro do esperado.",2023-05-16
15,1641,96,679,2,Produto veio com defeito.,2024-02-17
16,6494,4,2043,5,"Qualidade ótima, recomendo.",2024-02-23
17,3610,49,2974,5,,2024-09-04
18,2035,31,1007,4,Muito satisfeito com a compra.,2023-03-16
19,9017,72,2877,5,"Produto excelente, chegou antes do prazo!",2024-09-13
20,3470,184,1231,1,Produto veio com defeito.,2024-06-03
21,11479,66,531,5,Entrega rápida e produto conforme descrito.,2024-06-06
22,6984,122,1359,4,Superou minhas expectativas!,2023-06-29
23,4533,56,2955,2,Produto veio com defeito.,2023-11-28
24,3519,58,1993,5,Muito satisfeito com a compra.,2023-12-29
25,8766,73,2389,5,"Produto excelente, chegou antes do prazo!",2024-08-23
26,10158,116,950,1,Qualidade abaixo do esperado.,2023-08-17
27,9908,15,1299,5,Entrega rápida e produto conforme descrito.,2024-01-02
28,10307,1,1327,1,,2023-12-17
29,8819,25,2458,3,,2024-08-14
30,2804,109,809,2,"Não recomendo, péssima experiência.",2023-12-23
31,5519,124,2071,5,Superou minhas expectativas!,2023-01-16
32,5827,75,213,4,,2023-03-04
33,4545,46,1837,5,"Qualidade ótima, recomendo.",2024-12-09
34,3063,73,2282,5,"Produto excelente, chegou antes do prazo!",2023-10-20
35,11903,22,146,5,"Produto excelente, chegou antes do prazo!",2023-08-08
36,8977,191,1978,4,"Qualidade ótima, recomendo.",2023-10-29
37,13026,149,1730,5,,2023-11-28
38,9602,73,2580,3,,2024-12-21
39,9669,51,2198,4,,2023-08-05
40,1656,171,518,5,,2023-09-29
41,13102,145,2098,5,Superou minhas expectativas!,2024-02-16
42,12278,101,1540,5,,2023-11-28
43,7207,28,1870,4,Superou minhas expectativas!,2024-01-31
44,1887,69,472,3,,2023-06-12
45,13633,150,35,2,,2023-11-25
46,10277,74,1453,4,,2023-08-09
