id,cliente_id,data_pedido,status,valor_total,canal_venda,cupom_desconto
1,682,2024-05-18,em_transito,396.51,marketplace,sim
2,7,2023-08-12,entregue,74.89,site,não
3,1195,2024-02-17,entregue,41.93,app,não
4,2328,2023-05-05,entregue,2001.85,app,sim
5,379,2024-10-04,entregue,1251.35,site,não
6,2384,2024-08-14,entregue,1799.41,marketplace,sim
7,1380,2023-03-26,entregue,2499.94,marketplace,não
8,95,2024-08-26,entregue,571.22,marketplace,não
9,2962,2024-04-01,entregue,240.35,site,sim
10,2646,2023-09-23,entregue,1905.3,app,não
11,75,2023-09-24,entregue,926.66,marketplace,sim
12,1692,2024-04-02,entregue,1449.64,app,não
13,2884,2024-02-19,entregue,1798.8,app,sim
14,1094,2023-01-17,cancelado,8316.59,site,sim
15,565,2024-06-09,entregue,1924.63,app,não
16,1602,2024-06-27,entregue,202.97,app,sim
17,557,2024-01-03,em_transito,1046.62,marketplace,sim
18,1411,2023-01-18,entregue,263.91,site,não
19,2260,2023-04-20,cancelado,1064.12,marketplace,sim
20,2587,2023-12-21,entregue,1673.93,marketplace,não
21,130,2023-11-20,entregue,683.32,site,não
22,524,2024-06-18,entregue,103.17,site,não
23,720,2023-05-11,cancelado,2315.32,marketplace,não
24,513,2023-11-29,em_transito,1796.87,app,sim
25,1783,2023-08-18,em_transito,1892.18,marketplace,sim
26,1252,2023-05-28,entregue,570.34,app,não
27,104,2023-11-03,entregue,1806.37,app,não
28,2998,2023-06-02,entregue,8595.85,app,não
29,1679,2023-06-17,cancelado,1881.15,app,sim
30,751,2023-01-04,entregue,1063.21,marketplace,não
31,2863,2023-06-06,entregue,2318.7,site,não
32,1675,2024-03-28,entregue,1570.16,marketplace,não
33,2714,2023-03-03,entregue,67.16,marketplace,não
34,2091,2024-08-02,em_transito,2434.68,app,sim
35,1114,2023-11-11,entregue,6579.5,site,não
36,625,2023-06-04,entregue,1603.88,site,não
37,1460,2023-09-20,entregue,1017.18,marketplace,não
38,2633,2023-05-07,entregue,9380.66,site,não
39,329,2024-04-19,entregue,1681.66,site,sim
40,2774,2023-10-22,entregue,471.56,marketplace,sim
41,2404,2024-07-03,em_transito,1030.72,site,não
42,403,2023-02-14,entregue,2043.49,site,não
