id,pedido_id,cliente_id,categoria_problema,data_abertura,data_resolucao,status
1,6773,2789,troca,2023-05-21,,aberto
2,5419,2077,troca,2024-05-05,2024-05-09,resolvido
3,1872,512,atraso,2024-12-22,2024-12-27,resolvido
4,6423,2721,troca,2023-07-11,2023-07-18,resolvido
5,646,2956,dúvida,2023-05-07,,aberto
6,2347,1739,defeito,2024-06-05,,escalado
7,8493,2456,atraso,2023-03-30,2023-04-10,resolvido
8,9416,2935,atraso,2024-05-06,,escalado
9,453,136,dúvida,2023-03-17,2023-03-27,resolvido
10,10501,1465,cobrança,2023-08-22,2023-08-23,resolvido
11,6101,1852,atraso,2024-09-15,2024-09-30,resolvido
12,6684,2448,dúvida,2023-02-17,,aberto
13,5479,2757,dúvida,2024-01-25,,escalado
14,3972,1022,cobrança,2024-05-23,,aberto
15,5911,2712,troca,2024-12-03,2024-12-10,resolvido
16,10238,1217,defeito,2023-05-21,2023-05-22,resolvido
17,8594,1950,atraso,2023-06-09,,aberto
18,9443,494,cobrança,2023-05-15,2023-05-18,resolvido
19,12104,1903,dúvida,2023-03-14,2023-03-22,resolvido
20,7365,1601,atraso,2023-05-26,2023-06-08,resolvido
21,9019,970,dúvida,2023-12-14,2023-12-23,resolvido
22,11887,1444,dúvida,2023-06-25,2023-06-28,resolvido
23,9973,2441,troca,2023-02-24,,escalado
24,14295,2776,defeito,2023-05-15,2023-05-16,resolvido
25,4344,1770,dúvida,2023-12-08,2023-12-15,resolvido
26,11398,1768,troca,2024-05-25,2024-06-04,resolvido
27,7203,479,dúvida,2024-08-03,2024-08-08,resolvido
28,4455,1614,cobrança,2024-03-30,2024-03-31,resolvido
29,6005,1383,atraso,2023-05-27,,aberto
30,13626,2417,cobrança,2023-12-15,,escalado
31,12398,1214,troca,2024-12-26,2025-01-03,resolvido
32,7152,263,dúvida,2024-01-15,2024-01-18,resolvido
33,10437,1674,atraso,2023-09-07,,escalado
34,13790,623,troca,2024-07-24,2024-07-26,resolvido
35,14552,274,defeito,2023-11-28,2023-12-07,resolvido
36,9850,812,troca,2023-10-03,2023-10-11,resolvido
37,5618,1216,atraso,2024-12-01,2024-12-17,resolvido
38,7103,934,troca,2024-02-08,2024-02-13,resolvido
39,11696,1925,dúvida,2024-05-10,2024-05-13,resolvido
40,10638,308,cobrança,2024-07-26,2024-08-01,resolvido
41,14313,2264,cobrança,2024-10-19,2024-10-23,resolvido
42,3183,2503,troca,2023-12-10,,escalado
43,9807,225,defeito,2023-12-06,,aberto
44,1585,738,cobrança,2023-08-30,,escalado
45,14720,2186,atraso,2023-05-28,2023-06-09,resolvido
46,14614,311,troca,2024-08-22,2024-08-27,resolvido
47,6954,1568,atraso,2023-07-16,2023-07-27,resolvido
48,6439,2389,dúvida,2024-01-04,2024-01-06,resolvido
49,6996,2968,dúvida,2024-12-31,,aberto
50,12973,2731,troca,2024-07-11,2024-07-13,resolvido
51,8167,1927,defeito,2023-11-30,2023-12-10,resolvido
52,9444,398,dúvida,2023-04-30,2023-05-04,resolvido
53,14768,1013,troca,2024-12-31,2025-01-10,resolvido
54,2566,2362,atraso,2023-12-12,2023-12-27,resolvido
55,12716,1160,atraso,2024-10-14,2024-10-28,resolvido
56,12141,79,dúvida,2023-01-15,2023-01-20,resolvido
57,7073,2859,atraso,2023-10-05,2023-10-25,resolvido
58,2360,1188,defeito,2024-04-12,2024-04-20,resolvido
59,8520,2101,defeito,2023-03-11,,aberto
60,5048,1623,defeito,2023-06-12,2023-06-15,resolvido
61,11429,2936,dúvida,2023-12-03,2023-12-11,resolvido
62,12597,250,cobrança,2023-11-22,2023-11-30,resolvido
63,1362,872,troca,2023-07-05,,aberto
64,1448,475,defeito,2024-02-16,,aberto
65,12762,1725,atraso,2023-03-05,2023-03-19,resolvido
66,5758,609,troca,2023-05-25,,aberto
67,10982,2403,cobrança,2023-01-30,2023-01-31,resolvido
68,12604,2239,dúvida,2023-12-01,2023-12-06,resolvido
69,3458,70,defeito,2023-11-29,,aberto
70,10445,2731,dúvida,2023-11-20,2023-11-23,resolvido
71,4762,6,troca,2024-11-21,2024-11-23,resolvido
72,13776,48,troca,2023-11-27,,escalado
73,10106,1190,dúvida,2024-01-19,2024-01-26,resolvido
74,13281,2304,defeito,2023-08-17,2023-08-18,resolvido
75,7391,274,cobrança,2023-11-23,,aberto
76,14903,2583,troca,2024-01-23,2024-01-28,resolvido
77,8067,469,troca,2024-08-18,,aberto
78,1155,1132,troca,2023-02-14,,escalado
79,6073,326,cobrança,2023-03-27,,escalado
80,13974,251,cobrança,2023-03-31,2023-04-01,resolvido
81,7380,1211,dúvida,2023-03-17,2023-03-18,resolvido
82,12475,790,cobrança,2024-11-26,,aberto
83,12164,1233,troca,2024-09-10,2024-09-17,resolvido
84,9359,2319,troca,2024-09-04,2024-09-09,resolvido
85,9383,784,atraso,2024-09-24,2024-10-04,resolvido
86,13033,1054,defeito,2023-03-13,,aberto
87,8460,1478,dúvida,2023-02-08,,aberto
88,12616,2740,defeito,2023-12-19,2023-12-29,resolvido
89,2420,1547,defeito,2023-12-08,2023-12-09,resolvido
90,5011,2990,dúvida,2024-07-12,2024-07-17,resolvido
91,9461,2027,atraso,2024-03-25,2024-04-09,resolvido
92,3759,2765,dúvida,2023-07-10,2023-07-20,resolvido
93,4134,2210,dúvida,2024-12-11,,escalado
94,13009,2725,atraso,2024-04-25,2024-04-30,resolvido
95,4381,1545,troca,2023-08-20,,escalado
96,2369,2001,atraso,2023-12-22,2024-01-08,resolvido
97,7830,2728,troca,2023-03-06,,escalado
98,5719,1908,atraso,2024-02-25,,escalado
99,2598,222,defeito,2024-10-15,,aberto
100,13205,40,atraso,2023-12-26,2024-01-03,resolvido
101,9734,771,atraso,2023-10-20,,escalado
102,10392,1614,cobrança,2024-02-17,2024-02-26,resolvido
103,14937,2608,cobrança,2023-09-03,2023-09-09,resolvido
104,3324,1050,atraso,2023-03-09,2023-03-18,resolvido
105,202,1210,troca,2024-11-09,2024-11-16,resolvido
106,13183,1791,atraso,2023-06-22,,escalado
107,9196,2797,dúvida,2024-07-06,,aberto
108,12435,1812,troca,2023-10-03,2023-10-10,resolvido
109,12486,37,defeito,2023-12-21,2023-12-24,resolvido
110,1786,2291,cobrança,2024-08-20,2024-08-27,resolvido
111,3722,1812,dúvida,2023-12-04,2023-12-12,resolvido
112,9056,2798,dúvida,2023-12-20,2023-12-27,resolvido
113,13408,1919,atraso,2024-08-25,2024-09-07,resolvido
114,9964,1280,cobrança,2023-02-01,,escalado
115,5852,1548,cobrança,2023-09-26,,aberto
116,171,2086,atraso,2023-02-04,2023-02-22,resolvido
117,12392,2264,dúvida,2024-07-13,2024-07-18,resolvido
118,7310,1846,atraso,2023-05-16,,escalado
119,1462,1166,atraso,2023-12-21,2024-01-09,resolvido
120,9387,2218,dúvida,2024-01-11,2024-01-18,resolvido
121,10543,1384,dúvida,2023-06-28,,escalado
122,2066,105,cobrança,2024-07-01,,escalado
123,8965,2076,atraso,2024-08-01,,aberto
124,3784,2181,defeito,2023-11-24,,escalado
125,4653,537,defeito,2024-09-26,,aberto
126,12211,1208,troca,2024-11-23,2024-12-02,resolvido
127,7647,2331,troca,2023-03-29,,aberto
128,297,2867,cobrança,2024-02-13,2024-02-16,resolvido
129,14433,321,defeito,2024-07-01,,escalado
130,5261,2586,cobrança,2024-12-30,2025-01-04,resolvido
131,9246,1373,dúvida,2024-12-11,,aberto
132,4498,858,atraso,2023-08-17,2023-09-06,resolvido
133,6538,1219,dúvida,2023-12-25,,escalado
134,9922,776,atraso,2023-01-18,,aberto
135,12586,2132,cobrança,2023-06-17,2023-06-20,resolvido
136,12306,276,atraso,2023-12-03,2023-12-19,resolvido
137,14272,212,defeito,2023-12-20,,aberto
138,8298,2548,cobrança,2023-11-14,2023-11-19,resolvido
139,8813,1011,dúvida,2024-11-28,,aberto
